GEOID,tract_name,borough,area_sqmi,ksi_total,crash_count,lpi_count,hump_count,sip_count,bike_lane_miles,investment_density,svi_composite,svi_socioeconomic,svi_household,svi_minority,svi_housing,R_norm,I_norm,gap_score,biv_class,biv_color,safety_desert
36081099802,Far Rockaway-Bayswater,Queens,0.1673479439377334,148.0,428.0,0.0,2.0,0.0,1.6691560806484826,26.912395904000277,0.9523,0.8744,0.9958,0.7926,0.8006,0.03126980773293894,0.024465827340068372,0.0068039803928705705,32,#5698b9,True
36081099200,Far Rockaway-Bayswater,Queens,0.22484793966832803,347.0,909.0,4.0,6.0,1.0,1.760190297315901,100.69154060015144,0.9774,0.9692,0.9532,0.8184,0.9369,0.07331502218466089,0.09153781237896448,-0.01822279019430359,33,#3b4994,False
36081050000,Hollis,Queens,0.12956505455566367,314.0,760.0,3.0,0.0,0.0,0.0,69.46317454860812,0.8356,0.6318,0.7037,0.9042,0.9432,0.06634270019015423,0.06314837374797488,0.003194326442179346,33,#3b4994,True
36081050201,Hollis,Queens,0.0649446948822354,132.0,250.0,0.0,2.0,0.0,0.0,30.795433000749515,0.4543,0.682,0.2442,0.9906,0.0922,0.02788928797802662,0.027995862923040234,-0.00010657494501361414,11,#e8e8e8,False
36005016100,Crotona Park East,Bronx,0.09233846137309526,290.0,1006.0,5.0,3.0,0.0,0.9128786703999472,209.76435731734617,0.9992,0.9918,0.9971,0.8887,0.9664,0.06127192055778576,0.19069497069429506,-0.1294230501365093,33,#3b4994,False
36005016300,Crotona Park,Bronx,0.22740684241972112,242.0,400.0,2.0,8.0,1.0,2.6117399961606034,87.58579901249979,,,,,,0.05113036129304881,0.07962349557154198,-0.028493134278493176,,#cccccc,False
36081064500,Forest Hills,Queens,0.12204090694612059,189.0,568.0,3.0,1.0,0.0,0.0,81.93973848797162,0.5305,0.4113,0.6912,0.644,0.4437,0.03993238960490175,0.07449071057397329,-0.034558320969071535,12,#dfb0d6,False
36047002300,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,0.07041161227249029,165.0,572.0,3.0,0.0,5.0,1.4627675867349232,301.0036369864933,0.9835,0.9886,0.9926,0.9595,0.8012,0.03486160997253328,0.2736398140661095,-0.2387782040935762,32,#5698b9,False
36047020300,Prospect Heights,Brooklyn,0.05423952269907791,453.0,1113.0,4.0,2.0,0.0,0.6406374524424998,275.8312653610075,0.2256,0.0983,0.0789,0.5702,0.7172,0.095710965560955,0.2507558278121161,-0.1550448622511611,13,#be64ac,False
36081039901,Corona,Queens,0.04071357676716397,206.0,535.0,1.0,1.0,0.0,0.0,98.24732478984878,0.8202,0.7191,0.6507,0.9636,0.8145,0.04352419184449609,0.08931579683601382,-0.04579160499151773,32,#5698b9,False
