"the_geom","MainStreet","CrossStree","Install_Da","LONG","LAT","X","Y"
"POINT (-74.1336699120819 40.62641345004112)","FOREST AVE","ENT EXIT TO PATHMARK","2018-09-15T00:00:00","-74.1336699120819","40.6264134500411","947145.000051215","167523.999975637"
"POINT (-74.10050911947478 40.63121492483206)","FOREST AVE","HART BLVD","2018-09-15T00:00:00","-74.1005091194748","40.631214924832","956352.000009894","169261.000110567"
"POINT (-74.09591996360766 40.63172388619004)","FOREST AVE","HAVENWOOD RD","2018-09-15T00:00:00","-74.0959199636077","40.63172388619","957626.000086561","169445.000070646"
"POINT (-74.10469828749206 40.63069516600138)","FOREST AVE","HOYT AVENUE","2018-09-15T00:00:00","-74.1046982874921","40.6306951660014","955189.000039309","169073.000158474"
"POINT (-74.13723196213402 40.624271058927576)","FOREST AVE","LIVERMORE AVENUE","2018-09-15T00:00:00","-74.137231962134","40.6242710589275","946155.000062719","166744.999893233"
"POINT (-74.10259827862566 40.63093585540182)","FOREST AVE","SHARON AVE","2018-09-15T00:00:00","-74.1025982786257","40.6309358554018","955771.99985756","169159.999984473"
"POINT (-73.81048383126145 40.736993452204686)","PARSONS BLVD","65 AVENUE","2018-09-15T00:00:00","-73.8104838312615","40.7369934522046","1036769.99993472","207840.000052139"
"POINT (-73.81111967716421 40.72781601597599)","PARSONS BLVD","72 AVENUE","2018-09-15T00:00:00","-73.8111196771642","40.727816015976","1036600.99994464","204495.999850392"
"POINT (-73.95038621732856 40.58345027824832)","EMMONS AVENUE","SHEEPSHEAD BAY ROAD","2018-09-17T00:00:00","-73.9503862173286","40.5834502782483","998030.999985054","151847.000161722"
"POINT (-73.8545083079195 40.8735802445349)","East Gun Hill Road","Yates Avenue","2018-09-17T00:00:00","-73.8545083079195","40.8735802445349","1024486.99989447","257579.999981388"
"POINT (-74.02534566992207 40.622859749189594)","5 Avenue","84 Street","2018-09-21T00:00:00","-74.0253456699221","40.6228597491896","977213.999952465","166201.999994978"
"POINT (-73.98483062978131 40.68693022625469)","Atlantic Avenue","Bond Street","2018-09-21T00:00:00","-73.9848306297813","40.6869302262547","988457.000104219","189543.999898806"
"POINT (-73.93959711605865 40.70621109365543)","Bushwick Avenue","Boerum Street","2018-09-21T00:00:00","-73.9395971160586","40.7062110936554","1000996.99995856","196573.999946401"
"POINT (-73.96608110016135 40.6295438485831)","Coney Island Avenue","Avenue H","2018-09-21T00:00:00","-73.9660811001613","40.6295438485831","993664.999858811","168638.000044227"
"POINT (-73.85216387641404 40.693662515407176)","Woodhaven Blvd","Jamaica Avenue","2018-09-22T00:00:00","-73.852163876414","40.6936625154071","1025246.00001688","192030.999846056"
"POINT (-73.84397787296191 40.721453463786645)","Queens Blvd","71 Avenue","2018-09-27T00:00:00","-73.8439778729619","40.7214534637866","1027498.00010605","202159.999929219"
"POINT (-73.87824083879994 40.74239612359451)","Whitney Avenue","Ketcham Street","2018-06-22T00:00:00","-73.8782408387999","40.7423961235945","1017990.00009322","209775.00011915"
"POINT (-73.8600720091866 40.73837362956071)","99 Street","57 Avenue","2018-07-12T00:00:00","-73.8600720091866","40.7383736295607","1023026.99986172","208317.000082389"
"POINT (-73.95759436216849 40.72987896354532)","greenpoint avenue","Franklin Street","2018-07-27T00:00:00","-73.9575943621685","40.7298789635453","996003.000104055","205194.000094816"
"POINT (-73.92642398127293 40.831421235584806)","Jerome Avenue","E 164 St","2018-07-28T00:00:00","-73.9264239812729","40.8314212355848","1004610.99994838","242194.999911562"
"POINT (-73.92537468996929 40.83262823564074)","Jerome Avenue","E 165 St","2018-07-28T00:00:00","-73.9253746899693","40.8326282356407","1004901.00002456","242635.00001581"
"POINT (-73.90027460241286 40.863786386369746)","Jerome Avenue","E 190 St","2018-07-28T00:00:00","-73.9002746024129","40.8637863863697","1011833.99993806","253993.999935567"
"POINT (-73.8979779681306 40.866726695869964)","Jerome Avenue","E 193 St","2018-07-28T00:00:00","-73.8979779681306","40.8667266958699","1012467.99998239","255066.00008814"
"POINT (-73.89887273447694 40.86558294398282)","Jerome Avenue","W 192 St","2018-07-28T00:00:00","-73.8988727344769","40.8655829439828","1012221.00014831","254648.999937892"
"POINT (-73.88937285887371 40.87338289017893)","Jerome Avenue","Bedford Park Blvd","2018-07-28T00:00:00","-73.8893728588737","40.8733828901789","1014845.00014964","257494.000153393"
"POINT (-73.90508629681115 40.856409944476695)","Jerome Avenue","Clinton Place","2018-07-28T00:00:00","-73.9050862968111","40.8564099444767","1010505.99996939","251305.000064224"
"POINT (-73.90733117208794 40.85381528001687)","Jerome Avenue","E Burnside Ave","2018-07-28T00:00:00","-73.9073311720879","40.8538152800168","1009885.99989705","250358.999987721"
"POINT (-73.9871437217308 40.771054520949015)","Amsterdam Avenue","W 60 St","2018-07-28T00:00:00","-73.9871437217308","40.771054520949","987811.000083894","220192.999952391"
"POINT (-73.98623727957539 40.772300527949234)","Amsterdam Avenue","W 62 St","2018-07-28T00:00:00","-73.9862372795754","40.7723005279492","988061.999909967","220647.00002864"
"POINT (-73.98397282596729 40.77542923668849)","Amsterdam Avenue","W 67 St","2018-07-28T00:00:00","-73.9839728259673","40.7754292366885","988688.999968305","221787.000045225"
"POINT (-73.96200720845066 40.80550908766346)","Amsterdam Avenue","W 114 St","2018-07-28T00:00:00","-73.9620072084507","40.8055090876634","994767.999949381","232748.000104815"
"POINT (-73.96105282785898 40.8068207475776)","Amsterdam Avenue","W 116 St","2018-07-28T00:00:00","-73.961052827859","40.8068207475776","995032.000077561","233226.000133067"
"POINT (-73.95965010797106 40.808752550458266)","Amsterdam Avenue","W 119 St","2018-07-28T00:00:00","-73.9596501079711","40.8087525504582","995419.999957725","233930.000037387"
"POINT (-73.95570545063192 40.81414448161133)","Amsterdam Avenue","W 126 St","2018-07-28T00:00:00","-73.9557054506319","40.8141444816113","996511.0000723","235895.000044391"
"POINT (-73.95545956219728 40.81448747722051)","Amsterdam Avenue","W 128 St","2018-07-28T00:00:00","-73.9554595621973","40.8144874772205","996578.999936298","236020.000122473"
"POINT (-73.95220135367526 40.818949087230244)","Amsterdam Avenue","W 135 St","2018-07-28T00:00:00","-73.9522013536753","40.8189490872302","997480.000102803","237646.000151306"
"POINT (-73.94946354993355 40.82268897035883)","Amsterdam Avenue","W 141 St","2018-07-28T00:00:00","-73.9494635499336","40.8226889703588","998236.999901131","239009.000049978"
"POINT (-73.94809994805387 40.82456300618146)","Amsterdam Avenue","W 144 St","2018-07-28T00:00:00","-73.9480999480539","40.8245630061814","998614.000131384","239691.999996305"
"POINT (-73.93514015253392 40.842311990868076)","Amsterdam Avenue","W 172 St","2018-07-28T00:00:00","-73.9351401525339","40.842311990868","1002195.99985714","246160.999853566"
"POINT (-73.93421368236963 40.84356854275076)","Amsterdam Avenue","W 174 St","2018-07-28T00:00:00","-73.9342136823696","40.8435685427507","1002452.00000131","246618.999921814"
"POINT (-73.93371424232075 40.84424620009689)","Amsterdam Avenue","W 175 St","2018-07-28T00:00:00","-73.9337142423207","40.8442462000968","1002590.00005339","246866.000083983"
"POINT (-73.93323287737476 40.84491014126121)","Amsterdam Avenue","W 176 St","2018-07-28T00:00:00","-73.9332328773748","40.8449101412612","1002723.00011547","247107.999928057"
"POINT (-73.92866127671073 40.85118454712918)","Amsterdam Avenue","W 186 St","2018-07-28T00:00:00","-73.9286612767107","40.8511845471291","1003985.99988605","249394.99994722"
"POINT (-73.92815087887497 40.85186217278565)","Amsterdam Avenue","W 187 St","2018-07-28T00:00:00","-73.928150878875","40.8518621727856","1004126.99993214","249642.000109389"
"POINT (-73.99418615441563 40.702806818691165)","Old Fulton Street","Everit St","2018-07-05T00:00:00","-73.9941861544156","40.7028068186912","985862.000044882","195328.000141814"
"POINT (-73.9176091066168 40.841274279794)","Jerome Avenue","Macombs Road","2018-07-28T00:00:00","-73.9176091066168","40.841274279794","1007046.99999763","245786.999945387"
"POINT (-73.91916323193524 40.83825345332701)","Jerome Avenue","Gerard ave","2018-07-28T00:00:00","-73.9191632319352","40.838253453327","1006617.99987139","244685.99985081"
"POINT (-73.93930165018335 40.83660800484248)","Amsterdam Avenue","W 163 St","2018-07-28T00:00:00","-73.9393016501834","40.8366080048425","1001045.99986055","244082.000074565"
"POINT (-73.7903764830918 40.720103012120916)","Grand Central Pkwy WB S/R","Utopia Pkwy","2017-12-02T00:00:00","-73.7903764830918","40.7201030121209","1042356.99991556","201698.999866977"
"POINT (-73.79237697971666 40.75307121208238)","Hollis Court","Utopia Pkwy","2017-12-02T00:00:00","-73.7923769797167","40.7530712120824","1041774.0000973","213709.00012514"
"POINT (-73.79473225871652 40.784049910643766)","Utopia Pkwy","16 Avenue","2017-12-02T00:00:00","-73.7947322587165","40.7840499106437","1041095.00014298","224993.999864817"
"POINT (-73.79368354136996 40.77871500397993)","Utopia Pkwy","21 Avenue","2017-12-02T00:00:00","-73.79368354137","40.7787150039799","1041389.99988106","223051.000141889"
